,First Action,Second Action
"Situació 1: Els nivells de qualitat de l'aire estan baixos dins l'aula. Quines d'aquestes mesures prendries tenint en compte els avantatges i desavantatges de cada opció:
Nota: es poden tenir en compte variables com el soroll, corrent de l'aire, il·luminació, temperatura, posible aire acondicionat, posible sistema de calefacció, etc. (aplicable a la resta de preguntes)","('Obrir les finestres', 23)","('Obrir les portes', 15)"
"Situació 2: Els nivells de qualitat de l'aire estan baixos dins l'aula, però plou fora (les finestres estan tancades). Quines d'aquestes mesures prendries:","('Obrir les portes', 21)","('Pujar totalment les persianes', 7)"
Situació 3:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda i fa sol:,"('Obrir les finestres', 22)","('Obrir les portes', 17)"
"Situació 4:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda, però no fa sol:","('Obrir les finestres', 20)","('Obrir les portes', 14)"
Situació 5:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta i fa sol:,"('Obrir les portes', 13)","('Obrir les finestres', 10)"
"Situació 6:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta, però no fa sol:","('Obrir les portes', 14)","('Pujar totalment les persianes', 9)"
"Situació 7:   La temperatura aparent de l'aula està molt elevada, però plou fora (les finestres estan tancades). Quines d'aquestes mesures prendries:","('Obrir les portes', 16)","('Abaixar parcialment les persianes', 7)"
Situació 8:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda i fa sol:,"('Tancar les portes', 17)","('Tancar les finestres', 17)"
"Situació 9:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda, però no fa sol:","('Tancar les portes', 20)","('Tancar les finestres', 19)"
Situació 10:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta i fa sol:,"('Obrir les finestres', 19)","('Pujar totalment les persianes', 13)"
"Situació 11:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta, però no fa sol:","('Obrir les finestres', 19)","('Pujar totalment les persianes', 13)"
"Situació 12:   La temperatura aparent de l'aula està molt baixa, però plou fora (les finestres estan tancades). Quines d'aquestes mesures prendries:","('Tancar les portes', 14)","('Pujar totalment les persianes', 6)"
Situació 13:  Els nivells d'il·luminació de l'aula estan baixos.  Quines d'aquestes mesures prendries:,"('Pujar totalment les persianes', 20)","('Abaixar totalment les persianes', 1)"
Situació 14:  Els nivells d'il·luminació de l'aula estan elevats.  Quines d'aquestes mesures prendries:,"('Abaixar parcialment les persianes', 19)","('Abaixar totalment les persianes', 3)"
